Street,City,Zip Code,Bed,Bath,Sqft,House Type,Year Built,Sold Price
936 Olmstead St, San Francisco,94134,2.0,1.0,1016.0,Single Family Residence,1952,1100000.0
1880 Steiner St #409, San Francisco,94115,2.0,2.0,983.0,Condominium,1999,1261000.0
259 Wilson St, San Francisco,94112,2.0,1.0,880.0,Single Family Residence,1914,875000.0
501 Crescent Way #5212, San Francisco,94134,2.0,2.0,875.0,Condominium,2006,760000.0
451 Stoneridge Ln #3102, San Francisco,94134,2.0,2.0,1068.0,Condominium,1996,750000.0
115 Colby St, San Francisco,94134,3.0,3.0,1715.0,Single Family Residence,1970,1750000.0
643 40th Ave, San Francisco,94121,3.0,1.5,1448.0,Single Family Residence,1924,1610000.0
1055 Gilman Ave, San Francisco,94124,2.0,1.0,950.0,Single Family Residence,1908,800000.0
1863 Pine St, San Francisco,94109,3.0,1.5,1390.0,Single Family Residence,1900,1485000.0
647 34th Ave, San Francisco,94121,4.0,3.0,2432.0,Single Family Residence,1926,2065000.0
210 Rose St, San Francisco,94102,2.0,1.0,859.0,Condominium,1900,1102101.0
635 42nd Ave, San Francisco,94121,4.0,4.5,2518.0,Single Family Residence,1923,2900000.0
659 26th Ave, San Francisco,94121,3.0,3.5,2038.0,Single Family Residence,1913,1880000.0
80 Miraloma Dr, San Francisco,94127,4.0,3.0,2984.0,Single Family Residence,1960,2200000.0
2426 Santiago St, San Francisco,94116,3.0,2.0,1646.0,Single Family Residence,1940,1500000.0
28 Nebraska St, San Francisco,94110,4.0,2.0,1758.0,Single Family Residence,1926,1785000.0
278 Thrift St, San Francisco,94112,3.0,2.0,1293.0,Single Family Residence,1960,995000.0
4040 Balboa St #3, San Francisco,94121,2.0,1.0,670.0,Condominium,1998,729000.0
371 Wilde Ave, San Francisco,94134,2.0,1.0,1027.0,Single Family Residence,1951,975000.0
8200 Oceanview Ter #121, San Francisco,94132,3.0,2.0,1186.0,Condominium,2002,830000.0
722 37th Ave, San Francisco,94121,3.0,2.5,1700.0,Single Family Residence,1939,1640000.0
73 Dolores Ter, San Francisco,94110,3.0,2.5,1548.0,Townhouse,1998,1980000.0
1887 42nd Ave, San Francisco,94122,3.0,2.0,1289.0,Single Family Residence,1944,1000000.0
2346 Clement St #1, San Francisco,94121,2.0,2.5,1265.0,Condominium,2002,1050000.0
149 Bertita St, San Francisco,94112,1.0,1.0,988.0,Single Family Residence,1918,850000.0
1318 Larkin St, San Francisco,94109,3.0,1.5,1820.0,Condominium,1908,1174000.0
179 Tucker Ave, San Francisco,94134,2.0,1.0,1040.0,Single Family Residence,1951,1002616.0
95 Red Rock Way #102M, San Francisco,94131,1.0,1.0,830.0,Condominium,1972,675000.0
2186 34th Ave, San Francisco,94116,5.0,2.0,1900.0,Single Family Residence,1948,1460000.0
35 Cityview Way, San Francisco,94131,4.0,4.0,2088.0,Single Family Residence,1955,2130000.0
675 Prentiss St, San Francisco,94110,3.0,1.0,1204.0,Single Family Residence,1959,1150000.0
758 Haight St #2, San Francisco,94117,1.0,1.0,665.0,Condominium,1900,850000.0
815 Tennessee St #204, San Francisco,94107,2.0,2.0,925.0,Condominium,2018,1245000.0
73 Norton St, San Francisco,94112,2.0,2.0,1350.0,Single Family Residence,1939,978000.0
9 Toyon Ln, San Francisco,94112,3.0,1.5,1270.0,Single Family Residence,1925,1180000.0
611 Mason St #508, San Francisco,94108,2.0,2.0,978.0,Condominium,1986,900000.0
50 Lansing St #104, San Francisco,94105,2.0,2.0,989.0,Condominium,2006,1050000.0
178 Ridgewood Ave C, San Francisco,94112,3.0,2.0,1355.0,Townhouse,1997,1100000.0
401 Crescent Ct #4103, San Francisco,94134,1.0,1.0,805.0,Condominium,2007,570000.0
3701 Market St #2, San Francisco,94131,2.0,2.0,1232.0,Condominium,1962,1150000.0
1614 27th Ave, San Francisco,94122,2.0,2.0,1886.0,Single Family Residence,1937,1350000.0
477 45th Ave, San Francisco,94121,2.0,1.0,1200.0,Single Family Residence,1923,1350000.0
5800 3rd St #1120, San Francisco,94124,2.0,2.0,1083.0,Condominium,2010,805000.0
214 Dorland St, San Francisco,94114,2.0,1.0,991.0,Condominium,1910,1375000.0
1252 Church St, San Francisco,94114,2.0,1.0,1050.0,Single Family Residence,1900,1050000.0
1986 42nd Ave, San Francisco,94116,3.0,2.0,1214.0,Single Family Residence,1949,1125000.0
814 Grafton Ave, San Francisco,94112,2.0,1.0,1150.0,Single Family Residence,1936,925000.0
100 Augusta St, San Francisco,94124,4.0,3.0,2075.0,Single Family Residence,1947,1320000.0
201 Folsom St #33E, San Francisco,94105,3.0,3.0,1784.0,Condominium,2016,3300000.0
645 42nd Ave, San Francisco,94121,3.0,1.0,1567.0,Single Family Residence,1923,1521000.0
2336 Sloat Blvd, San Francisco,94116,3.0,1.0,1350.0,Single Family Residence,1948,1300000.0
52 Harper St, San Francisco,94131,2.0,2.0,1293.0,Single Family Residence,1914,1510000.0
1880 16th Ave, San Francisco,94122,4.0,2.0,2300.0,Single Family Residence,1938,1875000.0
1946 30th Ave, San Francisco,94116,4.0,3.0,1752.0,Single Family Residence,1940,1630000.0
151 23rd Ave, San Francisco,94121,3.0,3.5,2201.0,Condominium,1923,1900000.0
3037 Van Ness Ave #2, San Francisco,94109,2.0,1.0,811.0,Condominium,1922,899000.0
125 Alma St, San Francisco,94117,3.0,2.0,963.0,Single Family Residence,1910,1925000.0
2776 San Jose Ave, San Francisco,94112,5.0,3.0,2137.0,Single Family Residence,1961,1250000.0
60 Racine Ln, San Francisco,94134,6.0,4.0,2315.0,Single Family Residence,1953,1550000.0
